ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
ኣስቀበረ,ኣቂበሮ,funeral,"ኣቂበሮ1 /ak'k'ibb#ro/ ግ/v. [yak'k'ibbëru, ak'k'«bbër, wak'k'«bbër] (ኣስቀበረ) attend s.o.'s funeral ኳ የሞቲ ኧማየኋን ኣቂበሮ፡፡ (እሱ የሞተ ኣጐቱን ኣስቀበረ፡፡) He attended his uncle's funeral.",
ኣስተከለ,ኣቂበሮ,make planted ,"ኣቂበሮ2 /ak'k'ibb#ro/ ግ/v. [yak'k'ibbëru, ak'k'«bbër, wak'k'«bbër] (ኣስተከለ) make sth. planted ባዴቦ ማለቅ ችግኝ ኣቂበሮ፡፡ (ባዴቦ ብዙ ችግኝ ኣስተከለ፡፡) Badebo made many seedlings planted. ",
ኣሳጣ,ኣቂበጦ,cause lose ,"ኣቂበጦ1 /ak'k'ibb#t'o/ ግ/v. [yak'k'ibbët'u, wak'k'«bbët'] (ኣሳጣ) cause s.o. lose ኣባሪ ምርት ኣቂበጦ፡፡ (ድርቁ ምርት ኣሳጣ፡፡) The drought caused a shortage of harvest.",
,ኣቂበጦ,,ኣቂበጦ2 /ak'k'ibb#t'o/ ተመልከት see ሳጦ sat′o,
ኣስደረገ,ኣቂናው,make happen,"ኣቂናው /ak'k'innaw/ ግ/v. [yak'k'innaw, ak'k'«nna, wak'k'«nna] (ኣሰራ፣ኣስደረገ) make sth. happen ሉቡ የዎዘልተኘ ከሸት ኣቂናው፡፡ (ሉቡ ለሰራተኞቹ ምሳ እንዲዘጋጅ ኣደረገ፡፡) Lubbu got lunch prepared for the workers.",
ኣስቀደሰ,ኣቂደሶ,attend Mass,"ኣቂደሶ /ak'k'idd#so/ ግ/v. [yak'k'iddësu, ak'k'«ddës, wak'k'«ddës] (ኣስቀደሰ) attend Mass ስሙሪ በበቴስታን ኣቂደሶ፡፡ (ስሙሪ በበተስኪያን ኣስቀደሰ፡፡) Simuri attended Mass in church.",
ኣስለካ,ኣቂደዶ,make measured,"ኣቂደዶ1 /ak'k'idd#do/ ግ/v./ለኣዲስ ልብስ/for a new outfit [yak'k'iddëdu, ak'k'«ddëd, wak'k'«ddëd] (ኣስለካ፣ኣስቀደደ) make measured (by a tailor) ",
ኣስበሳ,ኣቂደዶ,be punctured,"ኣቂደዶ2 /ak'k'idd#do/ ግ/v. [yak'k'iddëdu, wak'k'«ddëd]  (ኣስቀደደ፣ኣስበሳ) cause to be punctured  በዘሊልነተው ቀልቀሊ በፉር ኣቂደደንት፡፡ (በቸልተኝነቱ ስልቻውን በኣይጥ ኣስቀደደው፡፡) He negligently let the skin bag be punctured by a rat.",
ኣስቀዳ,ኣቂዳው,poured,"ኣቂዳው /ak'iddaw/ ግ/v. [yak'k'iddaw, ak'k'«dda, wak'k'«dda] (ኣስቀዳ) have s.o. pour sth. ስከር ኣቂዳው፡፡ (ጠላ ኣስቀዳ፡፡) He got local beer poured for him. ",
ኣፈናጠጠ,ኣቂጠሎ ,,"ኣቂጠሎ /ak'k'it't'#lo/ ግ/v. [yak'k'it't'ëlu, ak'k'«t't'ël, wak'k'«t't'ël] (በበቅሎ፣በፈረስ፣ ወዘተ. ኣፈናጠጠ) have additional person sit on a horse or a  mule (behind the rider)  ",
ኣሟሟቀ,ኣቃለጦ ,exaggerate ,"ኣቃለጦ /ak'k'all#t'o/ ግ/v. [yak'k'allët'u, wak'k'alt'] (ኣቃለጠ፣ወሬ ኣሟሟቀ) act as talebearer, exaggerate ",
ወሬኛ,ኣቃላጭ,talebearer ,ኣቃላጭ /ak'k'alač'/ ቅ/adj. (ኣቃላጭ፣ወሬኛ) talebearer ,
ኣዳረሰ,ኣቃመሶ,share a little,"ኣቃመሶ /ak'k'amm#so/ ግ/v. [yak'k'ammësu, ak'k'ams, wak'k'ams] (ኣቃመሰ፣ኣዳረሰ) share a little (from what one has) ምሲ ያለን መግብ ለነግዶቺ ኣቃመሶ፡፡ (ሰውዬው ያለውን ምግብ ለእንግዶቹ ኣቃመሰ፡፡) The man shared the little food he had among the guests.",
,ኣቃረቦ,,ኣቃረቦ1 /ak'k'arr#bo/ ተመልከት see ኣቀረቦ1 ak'#rr#bo ,
ኣቀራረበ,ኣቃረቦ,,"ኣቃረቦ2 /ak'k'arr#bo/ ግ/v. [yak'k'arrëbu, ak'k'arb, wak'k'arb] (ኣቀራረበ፣ኣቃረበ) bring conflicting persons face to face (in order to settle their differences) ጉርዚ የኪቲ ኣዘር ጥለኞች ኣቃረበም ኣታረቆ፡፡ (ሽማግሌው በሁለቱም በኩል ያሉ ጠበኞችን ኣቀራርበው ኣስታረቁ፡፡) The elderly man brought the two opposing groups face to face and settled their differences. ",
ኣቃረጠ,ኣቃረጦ,divide up,"ኣቃረጦ /ak'k'arr#t'o/ ግ/v. [yak'k'arrët'u, ak'k'art', wak'k'art'] (ኣቃረጠ፣ቅርጫ ኣካፈለ) divide up the meat of a butchered ox among several people ",
ቅርጫ,ቅርጫ,,ቅርጫ /k'$rč'a/ ስ/n. (ቅርጫ) one's share of slaughtered animal's meat ,
,ኣቃበጦ,,"ኣቃበጦ /ak'k'abb't'o/ ግ/v. [yak'k'abbët'u, wak'k'abt'] (ዘመድ ከዘመድ ኣራራቀ) make two or more persons break off their healthy relations ኳ ያሰት ውሩ ዎደም ዘመድ ተዘመድ ኣቃበጦ፡፡ (እሱ የሃሰት ወሬ ነግሮ ዘመድ ከዘመድ ኣራራቀ፡፡) He caused the separation of the relatives by spreading false gossip.",
ኣቃና,ኣቃናው,get solution,"ኣቃናው1 /ak'k'annaw/ ግ/v. [yak'k'annaw, ak'k'ana, wak'k'ana] (ኣቃና፣መፍትሄ ኣስገኘ) get solution to a problem የከበደ ምካት ዘሚኋን ኣቃናለት፡፡ (የከበደን ችግር ወንድሙ ኣቃናለት፡፡) Kebede solved his brother's problem.",
ኣቃና,ኣቃናው,straighten,"ኣቃናው2 /ak'k'annaw/ ግ/v. [yak'k'annaw, ak'k'ana, wak'k'ana] (ኣቃና {ጠማማውን}) straighten sth. bent",
ሽቅብ ኣቀና,ኣቃናው,ascend," ኣቃናው3 /ak'k'annaw/ ግ/v. [yak'k'annaw, ak'k'ana, wak'k'ana] (ሽቅብ ኣቀና) ascend towards a hillock",
ሃቅ,ኣቅ,truth,"ኣቅ /ak'k'/ ስ/n. (ሃቅ፣እውነት) truth, fact ኣቅ ቲሰጡ፡፡ (እውነት ኣይደበቅም፡፡) Truth should not be hidden.",
እውነት,ኣቅ,fact ,"ኣቅ /ak'k'/ ስ/n. (ሃቅ፣እውነት) truth, fact ኣቅ ቲሰጡ፡፡ (እውነት ኣይደበቅም፡፡) Truth should not be hidden.",
እውነተኛ,ኣቀተኘ,truthful,"ኣቀተኘ/ak'k'#t#ññ#/ ቅ/adj. (እውነተኛ፣ሃቀኛ) truthful, honest ኣቀተኘ ሰብ (ሃቀኛ ሰው) an honest person",
ሃቀኛ,ኣቀተኘ,honest,"ኣቀተኘ /ak'k'#t#ññ#/ ቅ/adj. (እውነተኛ፣ሃቀኛ) truthful, honest ኣቀተኘ ሰብ (ሃቀኛ ሰው) an honest person",
ኣዋቂ,ኣቅለኘ,nowledgeable,ኣቅለኘ /ak′l#ññ#/ ቅ/adj. (ኣዋቂ፣ ኣስተዋይ) knowledgeable ኣቅለኘ ሰብ ዎገት ዪሽሉ፡፡ (ኣስተዋይ ሰው ምክር ያውቃል፡፡) A knowledgeable person knows counseling. ከ.ረ/K.R,
ኣጠራቀመ,ኣቅላለጦ,accumulated ,"ኣቅላለጦ /ak'lall#t'o/ ግ/v. [yak'lallët'u, ak'lalt', wak'lalt'] (ኣጠራቀመ) accumulate ኳ ጉነን ለዋክታ ዋጋ ኣቅላለጦ፡፡ (እሱ ራሱን ለመቻል ገንዘብ ኣጠራቀመ፡፡) He accumulated money to become self-supporting. ",
ኣካፈለ,ኣቅላጠጦ ,divide,"ኣቅላጠጦ /ak'lat't'«t'o/ ግ/v. [yak'lat't'ët'u, ak'lat't', wak'lat't'] (ኣከፋፈለ፣ኣካፈለ) divide በሰሪ ለኪቲ ሰቦች ኣቅላጠጠነሙን፡፡ (ስጋውን ለሁለቱ ሰዎች ኣከፋፈላቸው፡፡) He divided the meat for two of them. ",
ኣሞላቀቀ,ኣቅማጠሎ,spoiled,"ኣቅማጠሎ /ak'k'³mat't'#lo/ ግ/v. [yak'k'ëmat't'ëlu, wak'k'ëmat'ël] (ኣንቀባረረ፣ ኣሞላቀቀ) spoil (in bringing up a child) ጐሺ ሜቲየው ኣቅማጠለም ኣለቀንም፡፡ (ልጁን ኣያቱ ኣቀማጥለው ኣሳድገውታል፡፡) The boy was spoiled by his grandparent's upbringing.",
,ኣቅም ,,ኣቅም /ak'³m/ ተመልከት see ሰነ s«n«,
ኣቀረቀረ,ኣቅረቀሮ,bend head down ,"ኣቅረቀሮ /ak'r#k'k'#ro/ ግ/v. [yak'r«k'k'ëru, ak'«rk'³r, wak'«rk'ër] (ኣቀረቀረ) bow one's head, bend one's head down እሚት የሞተኒ ባይ ኣቅረቀረም በሾ፡፡ (እናት የሞተችበት ልጅ ኣቀርቅሮ ኣለቀሰ፡፡) The boy whose mother died wept bending his head down.",
,ኣቅራመቶ,,ኣቅራመቶ /ak'k'$ramm'to/ ተመልከት see ኣቃረጦ ak'k'arr#t'o ,
ተንቆራጠጠ,ኣቅራመጦ,be restless,"ኣቅራመጦ /ak'ramm#t'o/ ግ/v. [yak'rammët'u, wak'ramt'] (ተንቆራጠጠ፣ጉብ ቂጥ ኣለ) be restless ባዪ ለዎለፍ ኣቅራመጦ፡፡ (ልጁ ለመሄድ ተንቆራጠጠ፡፡) The boy became restless when he wanted to go. ",
ኣቀራረበ,ኣቅራረቦ,make ready ,"ኣቅራረቦ /ak'rarr#bo/ ግ/v. [yak'rarrëbu, ak'rarb, wak'rarb] (ኣቀራረበ) make ready (for service) የቡና ግብር ኣቅራረቦ:: (የቡና እቃ ኣቀራረበ፡፡) He made the coffee utensils ready. ",
,ኣቅራረቦ,,ኣቅራረቦ /ak'k'rarr#bo/ ተመልከት see ኣቃረቦ2 ak'k'arr«bo,
ኣዘገየ,ኣቅራዮ,delay,ኣቅራዮ /ak''k'$rayyo/ ግ/v. [yak'k'³rayyu. wak'k'³ray] (ኣዘገየ) delay ኣላሎ የቱዋሰኒ ማከል ኣቅራየንት፡፡ (ኣላሎ የተዋሰውን መጥረቢያ ሳይመልስ ኣዘገየው፡፡) Alallo delayed returning the axe he had borrowed. ,
ቆረጠመ,ኣቅራጨሞ ,munch ,"ኣቅራጨሞ /ak'rač'č'#mo/ ግ/v. [yak'rač'č'ëmu, ak'rač'm, wak'rač'm] (ቀረጨመ፣ቆረጠመ) munch (usu. roasted grain or beans) in the mouth ቆለ ኣቅራጨሞ፡፡ (ቆሎ ቆረጠመ፡፡) He munched on roasted grain.",
ኣቀጣጠነ,ኣቅሰሰኖ,,"ኣቅሰሰኖ /ak's#ss#no/ ግ/v. [yak'sassënu, ak'sasn, wak's«sn] (ትንንሽ ኣረገ፣ ኣቀጣጠነ) cut or split sth. to smaller pieces ኣበዝጌር ያነዱ እንጨ ኣቅሰሰነም ፈለጦ፡፡ (ኣበዝጌር የማገዶ እንጨት ኣቀጣጥኖ ፈለጠ፡፡) Abazger split firewood to smaller pieces.  ",
ቆይ ብቻ,ኣቅስ,just wait,"ኣቅስ /ak'k'³s/ ቃ.ኣ/interj (ቆይ ብቻ {ዛቻ}) just wait, threaten ጐልቦ የመሶኋን ""ኣቅስ"" ባለም ኣጫቀሰለት፡፡ (ጐልቦ ""ቆይ ብቻ"" ብሎ ጠላቱ ላይ ዛተበት፡፡) Golbo threatened his enemy.",
,ኣቅባበሎ,,ኣቅባበሎ /ak'babb#lo/ ተመልከት see ኣቂበሎ ak'ibb«lo.,
ኣቀባበለ,ኣቅባበሎ,load,"ኣቅባበሎ /ak'k'ëbabb#lo/ ግ/v. [yak'k'ëbabb³lu, ak'k'ëbabl, wak'babl] (ኣቀባበለ፣ኣጐረሰ {ጠመንጃውን}) load (a gun) ",
ኣጥላላ,ኣቅባዦ,,"ኣቅባዦ /ak'k'³bažžo/ ግ/v. [yak'k'ëbažžu, wak'k'ëbaž] (ኣበሻቀጠ፣ኣጥላላ) speak or treat s.o. badly ",
ኣጣደፈ,ኣቅባጠሮ,make hurry,"ኣቅባጠሮ /ak'k'$bat't'#ro/ ግ/v. [yak'k'ëbat't'ëru, ak'k'ëbat'r, wak'k'ëbat'r] (ኣካለበ፣ኣቻኮለ፣ ኣጣደፈ) make s.o. hurry ውሲ የዛንጀራሪ ኣቅባጠረም ሰደደነሙን፡፡ (ውሻው ዝንጀሮዎቹን ኣካልቦ ኣባረራቸው፡፡) The dog chased the baboons so hurriedly.  ",
ኣንሰራራ,ኣቅነቀኖ,revive,"ኣቅነቀኖ /ak'n#k'k'#no/ ግ/v./ለሰው/of a person [yak'n«k'k'ënu, wak'«nk'ën] (ኣንሰራራ፣ኣገገመ) revive, make a come back የከሰሪ ምስ ተባም በዎውዘየው ዝበረም ኣቅነቀኖ፡፡ (የከሰረው ሰውዬ በርትቶ በመስራቱ ኣንሰራራ፡፡) The man who had gone bankrupt worked hard and revived financially. ",
ዛጐል,ኣቅና, sea shell,ኣቅና /ak'nna/ ስ/n. (ዛጐል) sea shell ግሪድ ባቅና ሹሩባህነማ ያጊጥማን፡፡ (ልጃገረዶች ሹሩባቸውን በዛጐል ያጌጣሉ፡፡) Girls decorate their hair-braid with sea shells.,
ኣቀና ,ኣቅናናው ,cultivated,"ኣቅናናው /ak'nannaw/ ግ/v. [yak'nannaw, ak'nana, wak'nana] (ኣለማ ወይም ኣቀና {ድንግል መሬት}) develop or cultivate virgin land ኣይጉጉ በዳ ምድር ኣቅናናው፡፡ (ኣይጉጉ ድንግል መሬት ኣለማ፡፡) Aygugu cultivated virgin land.",
,ኣቅናጣው,,ኣቅናጣው /ak'k'ënat't'aw/ ተመልከት see ኣቅራመጦ ak'ramm#t'o,
እቅድ,ኣቅድ,plan,"ኣቅድ /ak'd/ ስ/n. (እቅድ፣ኣቅድ) plan, scheme ኣቅድ ያለን ዎዘላ ዪሳመሩ፡፡ (እቅድ ያለው ስራ ይሳካል፡፡) A planned work would be fruitful.",
,ኣቅድ,scheme,"ኣቅድ /ak'd/ ስ/n. (እቅድ፣ኣቅድ) plan, scheme ኣቅድ ያለን ዎዘላ ዪሳመሩ፡፡ (እቅድ ያለው ስራ ይሳካል፡፡) A planned work would be fruitful.",
,ኣቆማት,,ኣቆማት /ak'ommat/ ስ/n./ለሰውና ለእንስሳት/of people and animals (የቅርብ ዘመድ ዘር ይሁንህ ተብሎ ልጅ ወይም ከብት መስጠት) offering a child or cattle to a relative who has none ባብሶ አቲ ጐሸው ለዘሚኋን ኣቆማት ኣበንት፡፡ (ባብሶ ኣንደኛው ልጁን ለወንድሙ ሰጠው፡፡) Babso gave one of his sons to his brother as ak'ommat. ,
ኣቆመ,ኣቆሞ,set,"ኣቆሞ1 /ak'omo/ ግ/v. [yak'omu, ak'um, wak'um] (ኣቆመ፣ ገተረ) erect, set ኳ መሰላሊ ሰንግን ኣዲገፈም ኣቆመንት፡፡ (እሱ መሰላሉን ግድግዳ ኣስደግፎ ኣቆመው፡፡) He set the ladder upright against a wall.",
ኣቆመ,ኣቆሞ,stop,"ኣቆሞ2 /ak'omo/ ግ/v. [yak'omu, ak'um, wak'um] (ኣቆመ፣ ተወ) stop, give up, abandon ዎዘላ ኣቆሞ፡፡ (ስራ ኣቆመ፡፡) He stopped working.  ",
,ተወ,give up,"ኣቆሞ2 /ak'omo/ ግ/v. [yak'omu, ak'um, wak'um] (ኣቆመ፣ ተወ) stop, give up, abandon ዎዘላ ኣቆሞ፡፡ (ስራ ኣቆመ፡፡) He stopped working.  ",
,ተወ,abandon ,"ኣቆሞ2 /ak'omo/ ግ/v. [yak'omu, ak'um, wak'um] (ኣቆመ፣ ተወ) stop, give up, abandon ዎዘላ ኣቆሞ፡፡ (ስራ ኣቆመ፡፡) He stopped working.  ",
ኣስቆረበ,ኣቆረቦ,administer communion ,"ኣቆረቦ /ak'k'orr#bo/ ግ/v. [yak'orbu, ak'urëb, wak'urub] (ኣስቆረበ) administer communion ",
ጠበሰ,ኣቆቀሞ,toast ,"ኣቆቀሞ /ak'ok'k'#mo/ ግ/v. [yak'ok'k'ëmu, ak'ok'ëm, wak'ok'm] (ጠበሰ፣ኣሞቀ {ቂጣን}) toast bread (that is unleavened) ኳ ያደረ ጉንስ ኣቆቀሞ፡፡ (እሱ ያደረ ቂጣ ኣሞቀ፡፡) He warmed up the dry bread.",
የሞቀ ቂጣ,ቁቅም,warmed bread ," ቁቅም /k'uk'$m/ ቅ/adj., ስ/n.  (የሞቀ ቂጣ) warmed bread ",
ኣንቃቃ,ኣቆቀሶ, heat up,"ኣቆቀሶ /ak'ok'k'#so/ ግ/v. [yak'ok'k'ësu, ak'ok's, wak'ok's] (ኣንቃቃ {በእሳት}) heat up (for greens) ኣምብል ኣቆቀሰም በላው፡፡ (ጐመን ኣንቃቅቶ በላ፡፡) He heated up greens and ate it. ",
,ኣቆጮ,,ኣቆጮ /ak''k'oč'č'o/ ተመልከት see ኣቁጨጮ ak'k'uč'#č'č'o,
ተቃዋሚ,ኣቋሪየት,opposes ,ኣቋሪየት /ak′wariy#t/ ቅ/adj./ፍጡር ቃል/coinage (ተቃዋሚ {ለሃሳብ}) one who opposes another's opinion ,
ተቃወመ,ኣቋራው,oppose,"ኣቋራው /ak′k′warraw/ ግ/v. [yak'k'warraw, wak'k'wara] (ተቃወመ) oppose s.o.'s opinion ኳ የኩልምክነም ኣሳብ ኣቋራው፡፡ (እሱ የሁሉንም ሃሳብ ተቃወመ፡፡) He opposed their opinions.",
,ኣቋሾ,,"ኣቋሾ /ak′k′waššo/ ግ/v. [yak'k'waššu, ak'k'waš, wak'k'waš] (ቂጣ በባቄላ ወይም በኣተር በላ) eat bread with roasted beans or peas ",
መገበ,ኣበላው,feed,"ኣበላው1 /ab#llaw/ ግ/v. [yab«law, abla, wabla] (ኣበላ፣ መገበ) feed, offer food ገቢሶ ከሸት ኣበላኖ፡፡ (ገቢሶ ምሳ ኣበላን፡፡) Gebiso served us lunch. ",
ኣገደ,ኣበላው,graze,"ኣበላው2 /ab#llaw/ ግ/v./ለከብት/of a herd [yab«law, abla, wabla] (ኣሰማራ፣ኣገደ) graze ኳ ግዛት ኣበላው፡፡ (እሱ ከብት ኣገደ፡፡) He grazed a herd of cattle.",
ጨረሰ,ኣበረቆ,finish completely ,".ኣበረቆ /ab#rr#k'o/ ግ/v. [yab«rk'u, abrëk', wabrëk'] (ኣሟጠጠ፣ ጨረሰ) use up, finish completely ቦባ ዋጋኋን ኣበረቀንት፡፡ (ቦባ ገንዘቡን ኣሟጠጠው፡፡) Bobba used up his money to the last penny.",
ኣቀዘቀዘ,ኣበረዶ,cool ,"ኣበረዶ1 /ab#rr#do/ ግ/v. [yab«rdu, abrëd, wabrëd] (ኣቀዘቀዘ) cause sth. to cool ",
ኣበቃ,ኣበረዶ,end up mourning ,"ኣበረዶ2 /ab#rr#do/ ግ/v. [yab«rdu, abrëd, wabrëd] (ኣበቃ {ሃዘንን}) end up mourning የሎዲሶ ብሸ ዚኧነ ኣበረዱት፡፡ (የሎዲሶ ለቅሶ በቀደም እለት አበቃ፡፡) Loddiso's mourning ended up last time. ",
ኣረጋጋ,ኣበረዶ,calm down,"ኣበረዶ3 /ab#rr#do/ ግ/v./ለጠብ/of a quarrel [yab«rdu, abrëd, wabrëd] (ኣበረደ፣ኣቀዘቀዘ፣ኣረጋጋ) calm down, settle (a quarrel) ",
ኣበራ,ኣበራው,put on light,"ኣበራው /ab#rraw/ ግ/v. [yab«raw, abra, wabra] (ኣበራ) put on light ዛንጆ ማብራት ኣበራው፡፡ (ዛንጆ መብራት ኣበራ፡፡) Zanjo put on the light.",
ጨረር,ኣበራት, ray of light,ኣበራት /ab#rat/ ስ/n. (ጨረር {በቀዳዳ የሚገባ}) ray of light (coming into a room through a hole) በሰንግን ቁድ ኣበራት ተጌይ ይገባው፡፡ (በግድግዳ ቀዳዳ ጨረር ወደ ቤት ይገባል፡፡) A hole in a wall allows a ray of light into a room.,
,ኣበራቻ,,ኣበራቻ /ab#rračča/ ተመልከት see ብራቻ b³rračča,
,ኣበርጡጤ,,ኣበርጡጤ /ab«rt'ut'e/ ተመልከት see ሙልጣ mult'a,
,ኣበርጢጦ,,ኣበርጢጦ /ab#rt'it'o/ ተመልከት see ሙልጣ mult'a,
ቤተሰብ,ኣበሮስ, family,ኣበሮስ1 /ab#ros/ ስ/n. (ቤተሰብ {ልጆች የበዙበት}) a family where there are more children የኣበሮስ ጌ ስንቅ ማለቅን፡፡ (ብዙ ልጆች ያሉበት ቤተሰብ ቀለቡ ብዙ ነው፡፡) A food ration for a family where there are many children is supposed to be large. ,
,ኣበሮስ,,ኣበሮስ2 /ab#ros/ ተመልከት see ኧሮስ #ros ,
ጋገረ,ኣበሰሎ ,bake,"ኣበሰሎ /ab#ss#lo/ ግ/v. [yab«slu, absël, wabsël] (ኣበሰለ፣ጋገረ) bake ኳ ጉንስ ኣበሰሎ፡፡ (እሱ ቂጣ ጋገረ፡፡) He baked bread.",
መከረኛ,ኣበሰኘ,miserable ,ኣበሰኘ1 /ab#s#ññ#/ ቅ/adj. (ኣበሰኛ፣ መከረኛ) miserable ,
ኣስቸጋሪ,ኣበሰኘ,troublesome,ኣበሰኘ2 /ab#s#ññ#/ ቅ/adj./ለሰው ወይም ለእንሰሳ/of a person or animal (ኣስቸጋሪ፣ክፉ) troublesome ኣበሰኘ ሰብ ያተክሩ፡፡ (ክፉ ሰው ያስቸግራል፡፡) A troublesome person causes problems.,
ኣበሳ,ኣበሳ ,hardship,"ኣበሳ /ab#sa/ ስ/n. (ኣበሳ፣ መከራ፣ችግር) trouble, hardship, misery, tribulation  ",
,መከራ,tribulation  ,"ኣበሳ /ab#sa/ ስ/n. (ኣበሳ፣ መከራ፣ችግር) trouble, hardship, misery, tribulation  ",
,ችግር,misery,"ኣበሳ /ab#sa/ ስ/n. (ኣበሳ፣ መከራ፣ችግር) trouble, hardship, misery, tribulation  ",
,ኣበስኩ,,ኣበስኩ /abb#sku/ ተመልከት see ፍርክ f³rk  ,
ኣባባሰ,ኣበሶ ,worsen ,"ኣበሶ /ab#so/ ግ/v. [yabisu, wab«s] (ኣባሰ፣ኣባባሰ) make worse, worsen ",
ኣብሽ,ኣበሸ,fenugreek ,ኣበሸ /ab#š#/ ስ/n. (ኣብሽ) fenugreek ,
ቁምጥና,ኣበሽተላም ,leprosy ,ኣበሽተላም /ab«št«lam/ ቅ/adj. (ቁምጥና) leprosy ,
ፈሰሰ ,ኣበሾ,flow continuously ,"ኣበሾ /ab#ššo/ ግ/v. [yab«šu, wabš] (ሳያቋርጥ ፈሰሰ {የኣይን እምባ በበሽታ ወይም በኣደጋ ምክንያት}) flow continuously (tears due to infection or accident) የበለጦ ዪን እንጨ ኣጀንም ኣበሾ፡፡ (የበለጦ ኣይን እንጨት ወግቶት ሳያቋርጥ እምባ ኣፈሰሰ፡፡) As Belato's eye was injured,  many tears flowed from it continuously.",
ሙሾ,ኣበሾኘ,,ኣበሾኘ /ab#šoññ#/ ስ/n. (ሙሾ፣ በቀብር ወቅት ግጥም እየተደረደረ ለሙታን የሚደረግ የብዙ ሰዎች የቁም ለቅሶ) funeral dirge followed by some sort of dancing ኧሪሲ ታይቀበርጐይ ኣበሾኘ ተዞሮ፡፡ (ሬሳው ሳይቀበር ሙሾ ተደረደረ፡፡) A funeral dirge was performed before the burial of the corpse.,
ኣበቀለች,ኣበቀለቲ,sprout ,"ኣበቀለቲ /ab#k'k'#l«tti/ ግ/v. [tab«k'li, abk'il, wabk'ël] (ኣበቀለች፣እንዲበቅል ኣደረገች) make grain or other plant seeds sprout ኪያ ብቅል ኣበቀለቲ፡፡ (እሷ ብቅል ኣበቀለች፡፡) She made malt sprout. ",
ኣጠናቀቀ,ኣበቃው,complete doing,"ኣበቃው1 /ab#k'k'aw/ ግ/v. [yab#k'aw, abk'a, wabk'a] (ጨረሰ፣ ኣበቃ፣ ኣጠናቀቀ) complete doing sth., finish ከርሴ የርሻ ዎዘላኋን ኣበቃው፡፡ (ከርሴ የእርሻ ስራውን ኣጠናቀቀ፡፡) Kerse completed his ploughing.",
,ኣበቃው,,ኣበቃው2 /ab#k'k'aw/ ተመልከት see ኣባርሽ ባሎ abaršš balo,
,ኣበበሶ ,,ኣበበሶ /ab#b#so/ ተመልከት see ኣበሶ ab#so,
ኣበባ,ኣበቦ ,flower,ኣበቦ /ab#bo/ ስ/n. (ኣበባ) flower,
ኣቦነነ,ኣበነኖ,raise dust,"ኣበነኖ /ab#nn#no/ ግ/v. [yab«nnu, wabnën] (ኣቦነነ) throw dust, raise dust ባዪ ዪጫወትጐይ ቲባ ኣበነኖ፡፡ (ልጁ ሲጫወት ኣዋራ ኣቦነነ፡፡) The boy threw dust while playing.",
ኣበዛ,ኣበዛው,duplicate ,"ኣበዛው /ab#zzaw/ ግ/v. [yab«zaw, abza, wabza] (ኣበዛ፣በቁጥር ወይም በመጠን ኣሳደገ) multiply, duplicate ",
,ኣበዛው,multiply,"ኣበዛው /ab#zzaw/ ግ/v. [yab«zaw, abza, wabza] (ኣበዛ፣በቁጥር ወይም በመጠን ኣሳደገ) multiply, duplicate ",
የጦር መሪ,ኣበጋዝ,war leader,ኣበጋዝ /ab#gaz/ ስ/n. (ኣበጋዝ፣የጐበዝ ኣለቃ፣የጦር መሪ) honorary name given to a war leader (in olden times) ,
ኣበጋዝነት,ኣበጋዝነት,,ኣበጋዝነት /ab#gaz³nn#t/ ስ/n. (ኣበጋዝነት፣ ኣበጋዝ መሆን) act of  becoming ab«gaz,
ያልተሟላ ገበያ,ኣበጫጫ ,,ኣበጫጫ /ab#č'ač'a/ ቅ/adj. (ያልተሟላ ገበያ) a market where most commodities are not available  ,
